p & n & m & iters. & #fg & f & NPG & iters. & #fg & f & NVSHKLH
5 & 100 & 0.9 & 1 & 21 & 70247.1102599127 & 7.79E+02 & 10000 & 30429 & 3145.9378051899 & 5.70E-01
10 & 100 & 0.9 & 1 & 21 & 70247.1102599127 & 7.79E+02 & 10000 & 20005 & 3145.9375865921 & 2.68E+02
20 & 100 & 0.9 & 1 & 21 & 70247.1102599127 & 7.79E+02 & 10000 & 20007 & 3145.8753404168 & 1.61E+02
5 & 200 & 0.9 & 1 & 21 & 137705.665344048 & 1.10E+03 & 10000 & 30429 & 6210.7940850592 & 5.70E-01
10 & 200 & 0.9 & 1 & 21 & 137705.665344048 & 1.10E+03 & 10000 & 20010 & 6210.7940839088 & 1.69E+03
20 & 200 & 0.9 & 1 & 21 & 137705.665344048 & 1.10E+03 & 10000 & 20007 & 6210.7394172849 & 2.41E+02
5 & 1000 & 0.9 & 1 & 21 & 677374.106017129 & 2.46E+03 & 10000 & 30443 & 30729.6443168679 & 5.70E-01
10 & 1000 & 0.9 & 1 & 21 & 677374.106017129 & 2.46E+03 & 10000 & 30443 & 30729.6443166712 & 3.46E+02
20 & 1000 & 0.9 & 1 & 21 & 677374.106017129 & 2.46E+03 & 10000 & 20013 & 30729.6441601442 & 9.04E+02
5 & 5000 & 0.9 & 1 & 21 & 3375716.30938256 & 5.51E+03 & 10000 & 30439 & 153323.895471343 & 6.84E+02
10 & 5000 & 0.9 & 1 & 21 & 3375716.30938256 & 5.51E+03 & 10000 & 10038 & 153323.895471311 & 5.70E-01
20 & 5000 & 0.9 & 1 & 21 & 3375716.30938256 & 5.51E+03 & 23 & 112 & 153323.895471236 & 5.58E+02
5 & 10000 & 0.9 & 1 & 21 & 6748644.0635896 & 7.79E+03 & 10000 & 30445 & 306566.709414236 & 8.48E+02
10 & 10000 & 0.9 & 1 & 21 & 6748644.0635896 & 7.79E+03 & 10000 & 30445 & 306566.709414219 & 8.48E+02
20 & 10000 & 0.9 & 1 & 21 & 6748644.0635896 & 7.79E+03 & 10000 & 30443 & 306566.70941419 & 1.05E+04
